name,description,WKT
"Obelisco","","POINT (-58.381623 -34.60375)"
"Aeropuerto Internacional Ezeiza","","POINT (-58.527852 -34.79345)"
"Lugar desconocido","","POINT (-58.422782 -34.59246)"
"Caminito","","POINT (-58.362577 -34.639359)"
"Plaza de Mayo","","POINT (-58.372178 -34.608414)"
"Jardín Botánico Carlos Thays","","POINT (-58.417333 -34.582855)"
"Paseo El Rosedal","","POINT (-58.417492 -34.570958)"
"Plaza Sicilia","","POINT (-58.411425 -34.57458)"
"Cementerio de la Recoleta","","POINT (-58.393504 -34.587675)"
"Centro Cultural Recoleta","","POINT (-58.392288 -34.586402)"
"Facultad de Derecho","","POINT (-58.391842 -34.58248)"
"Floralis Genérica","","POINT (-58.394004 -34.581696)"
"Puente de la Mujer","","POINT (-58.365385 -34.608033)"
"Museo Casa Rosada","","POINT (-58.369545 -34.60831)"
"Plaza del Congreso","","POINT (-58.390271 -34.609709)"
"Teatro Colón","","POINT (-58.383179 -34.601081)"
"Plaza San Martín","","POINT (-58.375871 -34.594628)"
"Estadio Alberto J. Armando","","POINT (-58.36481 -34.635598)"
"Café Tortoni","","POINT (-58.37815 -34.608697)"
"Terminal Fluviomarítima Colonia","","POINT (-57.844161 -34.474039)"
"La Plata","","POINT (-57.953768 -34.92069)"
"Mercado de San Telmo","","POINT (-58.372371 -34.61908)"
"Parque de la Costa","","POINT (-58.577328 -34.41724)"
"San Isidro","","POINT (-58.526487 -34.473978)"
"Plaza Dorrego","","POINT (-58.371779 -34.62047)"
"Reserva Ecológica Costanera Sur","","POINT (-58.35156 -34.606868)"
"Buquebus Dársena Norte","","POINT (-58.367586 -34.597655)"
"Lugar desconocido","","POINT (-58.390722 -34.604254)"
"Plaza Doctor Benjamín Apthorp Gould","","POINT (-58.411153 -34.569539)"
"El Ateneo - Grand Splendid","","POINT (-58.394168 -34.595983)"
"Cascada Nagano","","POINT (-58.409076 -34.574903)"
"Parque de la Memoria","","POINT (-58.441084 -34.539504)"
"Reserva ecológica Ciudad Universitaria","","POINT (-58.444866 -34.539166)"
"Museo Domingo Faustino Sarmiento","","POINT (-58.576807 -34.383019)"
"Río Tur Catamaranes","","POINT (-58.572267 -34.41832)"
"Playa","","POINT (-58.572112 -34.40876)"
"Tigre","","POINT (-58.580876 -34.42263)"
"Caldén del Soho","","POINT (-58.427062 -34.590604)"
"Peña Ciclista Veteranos de Glew","","POINT (-58.383604 -34.885251)"
"Adela","","POINT (-57.953505 -35.683894)"
"Jeppener","","POINT (-58.19812 -35.277655)"
"Castelli","","POINT (-57.810466 -36.093026)"
"Plaza Constitución","","POINT (-58.380569 -34.628257)"
"Terminal de Omnibus Mar del Plata","","POINT (-57.562879 -37.988404)"
"General Guido","","POINT (-57.791231 -36.65604)"
"General Pirán","","POINT (-57.774175 -37.276018)"
"Lugar desconocido","","POINT (-57.578918 -38.006957)"
"Cristo Redentor","","POINT (-57.518555 -38.039043)"
"Banquina de pescadores","","POINT (-57.538243 -38.050348)"
"Plaza San Martín","","POINT (-57.54827 -37.997634)"
"Plaza Mitre","","POINT (-57.552888 -38.003338)"
"Casa del Puente","","POINT (-57.573704 -38.00857)"
"Plazoleta Julio Cortázar","","POINT (-58.430185 -34.588757)"
"Parque General Juan Gregorio de Las Heras","","POINT (-58.408589 -34.584161)"
"Bellagamba Bodegón","","POINT (-58.432067 -34.59247)"
"Kentucky","","POINT (-58.464144 -34.629493)"
