name,WKT
"Guarapuava","POINT (-51.46222 -25.395117)"
"Sorocaba","POINT (-47.458046 -23.501685)"
"Itapetininga","POINT (-48.048347 -23.588593)"
"Ponta Grossa","POINT (-50.160168 -25.089158)"
"Itapeva","POINT (-48.88039 -23.984902)"
"Jaguariaíva","POINT (-49.720157 -24.25896)"
"Lugar desconocido","POINT (-51.466487 -25.408949)"
"Lugar desconocido","POINT (-51.464217 -25.394409)"
"Parque do Lago","POINT (-51.473044 -25.399584)"
"Praça da Ucrânia","POINT (-51.461277 -25.4027)"
"Salto São Francisco","POINT (-51.297351 -25.063575)"
"Guairacá","POINT (-51.330672 -25.157076)"
"Salto dos Cavalheiros","POINT (-51.298016 -25.065118)"
"Lugar desconocido","POINT (-51.484991 -25.407685)"
"Edificio","POINT (-46.741367 -23.576319)"
"Santuário Nossa Senhora de Fátima - Sumaré","POINT (-46.677586 -23.551029)"
"Shopping Cidade dos Lagos - Guarapuava","POINT (-51.473774 -25.348651)"
"Polícia Federal","POINT (-51.460403 -25.395525)"
"Aeroporto Internacional Deputado Luiz Eduardo Magalhães","POINT (-38.326408 -12.910874)"
"Lugar desconocido","POINT (-38.45139 -12.999293)"
"Acarajé da Dinha","POINT (-38.49182 -13.011289)"
"Acarajé da Cira","POINT (-38.488668 -13.013434)"
"Largo de Amaralina","POINT (-38.468372 -13.012862)"
"Museu Náutico da Bahia","POINT (-38.532913 -13.010335)"
"Praia do Porto da Barra","POINT (-38.532943 -13.003236)"
"Morro do Cristo","POINT (-38.523862 -13.010813)"
"Lugar desconocido","POINT (-38.500495 -13.012167)"
"Jardim dos Namorados","POINT (-38.449947 -13.0016)"
"Praia Jardim de Alah","POINT (-38.443403 -12.99808)"
"Elevador Lacerda","POINT (-38.513174 -12.974237)"
"Cruz Caída","POINT (-38.511778 -12.973246)"
"O Cravinho","POINT (-38.510322 -12.973209)"
"Igreja da Ordem Terceira de São Domingos","POINT (-38.509294 -12.973558)"
"Largo do Pelourinho","POINT (-38.508399 -12.97157)"
"Igreja do Santíssimo Sacramento do Passo","POINT (-38.508345 -12.969495)"
"Cafélier","POINT (-38.50739 -12.968086)"
"Praia do Flamengo","POINT (-38.312697 -12.918984)"
"Maragogi Hostel","POINT (-35.221089 -9.0101805)"
"São Bento","POINT (-35.243026 -9.047976)"
"Barra Grande","POINT (-35.187499 -8.9692255)"
"Apartamento mobiliado em condomínio bem localizado","POINT (-37.07825 -10.949699)"
"Praia Ponta do Mangue","POINT (-35.172908 -8.9572474)"
"Igreja do Bonfim","POINT (-38.508114 -12.923707)"
"Shopping Barra","POINT (-38.52447 -13.006702)"
"Mirante Alto do Cruzeiro","POINT (-35.222427 -9.0115713)"
"Praia Hostel","POINT (-35.21975 -9.0096189)"
"Praia do Francês","POINT (-35.840721 -9.7708283)"
"Mirante do Gunga","POINT (-35.914488 -9.8651722)"
"Praça Multieventos","POINT (-35.7137 -9.6686696)"
"Sorveteria Bali","POINT (-35.715143 -9.6697034)"
"Praia de Pajuçara","POINT (-35.710384 -9.6662244)"
"Pavilhão do Artesanato","POINT (-35.708288 -9.6635691)"
"Feira de Artesanato da Pajuçara","POINT (-35.708541 -9.6645487)"
"Eu Amo Maceió","POINT (-35.698409 -9.6645897)"
"Farol de Ponta Verde","POINT (-35.69224 -9.6659435)"
"Edificio","POINT (-35.709044 -9.6455282)"
"Guaxuma","POINT (-35.676474 -9.5944227)"
"Maceió Shopping","POINT (-35.715166 -9.6485632)"
"Lugar desconocido","POINT (-35.71349 -9.6328714)"
"Parque da Sementeira","POINT (-37.054298 -10.946353)"
"Tucuruvi","POINT (-46.603271 -23.480076)"
"Entrada Núcleo Pedra Grande","POINT (-46.635743 -23.454807)"
"Lugar desconocido","POINT (-46.590436 -23.47546)"
"Lugar desconocido","POINT (-46.816335 -23.621947)"
"Shopping Pátio Paulista","POINT (-46.64319 -23.570763)"
"Catavento Cultural e Educacional","POINT (-46.627797 -23.543687)"
"Lugar desconocido","POINT (-46.825377 -23.626648)"
"Terminal 3","POINT (-46.475892 -23.425002)"
"Terminal 2","POINT (-46.481698 -23.42623)"
"Terminal Rodoviário Urbano de Foz do Iguaçu","POINT (-54.587142 -25.532569)"
"Hostel Wanderlust","POINT (-54.590141 -25.541221)"
"Itaipu Dam","POINT (-54.589422 -25.408141)"
"Estação Trilha das Cataratas","POINT (-54.439366 -25.684327)"
"Vista panorámica","POINT (-54.438025 -25.691641)"
"Aparcamiento","POINT (-54.586364 -25.414305)"
"place-square","POINT (-54.592297 -25.420826)"
